Morfo;Visitor
hellictidae preta média;Halictidae spp.
Hemiptera (andando sobre as flores);Hypselonotus fulvus
Hemiptera já cap.;Hypselonotus fulvus
Hemiptera preto com costas brilhantes;Hemiptera sp1
Heperiidae marrom claro com ponos;Hesperiidae sp3
heperiidae marrom com pontinhos;Hesperiidae sp3
heperiidae marrom pequena;Hesperiidae sp3
heperiidae pequnea com cinza;Hesperiidae sp5
heseriidae marrom tbm diferente;Hesperiidae sp3
Hesperidae;Hesperiidae sp4
Hesperidae alaranjada;Hylephila phyleus
Hesperidae branca com cinza;Ascia sp.
Hesperidae cinza;Hesperiidae sp5
Hesperidae cinza feia;Hesperiidae sp5
Hesperidae laranja com bolinhas;Hylephila phyleus
Hesperidae laranja feia;Hylephila phyleus
Hesperidae marrom;Hesperiidae sp3
Hesperidae marrom feiona;Hesperiidae sp3
Hesperidae marrom magrinha;Hesperiidae sp3
Hesperidae marrom pequena;Hesperiidae sp3
Hesperidae marrom pequena magrinha;Hesperiidae sp3
Hesperidae marrom pousada;Hesperiidae sp3
Hesperidae mesclada amarronzada;Pompeius pompeius
Hesperidae pequena marrom;Hesperiidae sp3
Hesperiidae;Hesperiidae sp4
Hesperiidae branca com detalhes em cinza;Burnsius orcus
Hesperiidae branquela;Hesperiidae sp8
Hesperiidae cnza média;Hesperiidae sp5
hesperiidae com detalhes em preto;Hylephila phyleus
Hesperiidae com rabo;Spicauda procne
Hesperiidae equnea com torax e abd branco e asas beges;Hesperiidae sp8
Hesperiidae filmada hj na Malvaceae mt parecida;Hylephila phyleus1
hesperiidae laranaja com detalhes em preto;Hylephila phyleus
Hesperiidae laranja;Hylephila phyleus
hesperiidae laranja 1;Hylephila phyleus
Hesperiidae laranja com bordas pretas;Hylephila phyleus
Hesperiidae laranja com detalhes na asa em marrom;Hylephila phyleus
hesperiidae laranja com manchas pretas;Hylephila phyleus
hesperiidae laranja com pontinhos na asas;Hylephila phyleus
hesperiidae laranja com pontinhos pretos;Hylephila phyleus
hesperiidae laranja com pontos pretos acho que diferente da de baixo;Hylephila phyleus
Hesperiidae laranja com preto;Hylephila phyleus
Hesperiidae laranja com preto detalhes;Hylephila phyleus
Hesperiidae laranja com tons em preto;Hylephila phyleus
Hesperiidae laranja média;Hylephila phyleus
Hesperiidae laranja pequena;Hylephila phyleus
Hesperiidae laranja pequnea;Hylephila phyleus
Hesperiidae laranjaa pequena;Hylephila phyleus
hesperiidae marom com pontinhos;Hesperiidae sp3
hesperiidae marrmo com bolinhas;Hesperiidae sp3
hesperiidae marrom;Hesperiidae sp3
Hesperiidae marrom (vídeo 15/11/2021  12:55);Hesperiidae sp3
Hesperiidae marrom 1;Hesperiidae sp3
Hesperiidae marrom clara pequnea;Hesperiidae sp3
Hesperiidae marrom claro;Hesperiidae sp3
Hesperiidae marrom claro com detalhes em marrom;Hesperiidae sp3
Hesperiidae marrom com detalhes;Hesperiidae sp3
hesperiidae marrom com linha branca;Spicauda procne
hesperiidae marrom com manchas nas asas pequneo;Hesperiidae sp3
Hesperiidae marrom com pontinhos marrom mais escuro;Hesperiidae sp3
hesperiidae marrom escuro;Hesperiidae sp3
Hesperiidae marrom já vista aqui, mas n sei qual;Hesperiidae sp3
hesperiidae marrom lisa;Hesperiidae sp3
hesperiidae marrom média;Hesperiidae sp3
hesperiidae marrom medio;Hesperiidae sp3
hesperiidae marrom mesclada;Hesperiidae sp3
hesperiidae marrom mt parecida com as outras, é a mesma espe´cie?;Hesperiidae sp3
hesperiidae marrom pequena 1;Hesperiidae sp3
Hesperiidae marrom pequena;Hesperiidae sp3
hesperiidae marrom pequena com detalhes;Hesperiidae sp3
hesperiidae marrom pequena com pontinhos;Hesperiidae sp3
hesperiidae marrom pequnea;Hesperiidae sp3
Hesperiidae marrom pequnea;Hesperiidae sp3
Hesperiidae marrom pequnea com pontinhos;Hesperiidae sp3
hesperiidae marrom peuqena 1;Hesperiidae sp3
Hesperiidae menor ainda laranjaa , a mesma da de baixo?;Hylephila phyleus
hesperiidae mescadinha com marrom;Hesperiidae sp3
hesperiidae mesclada;Pompeius pompeius
hesperiidae mesclado;Pompeius pompeius
Hesperiidae oequena laranja;Hylephila phyleus
hesperiidae pequena;Hesperiidae sp9
hesperiidae pequena marrom com detalhes em branco;Hesperiidae sp3
hesperiidae pequena marrom com pontinhos;Hesperiidae sp3
hesperiidae preta com laranja;Hylephila phyleus
Hesperiidae quandoa bre as asas manchas pretas;Hylephila phyleus
hesperiidae um pouco maior;Hesperiidae sp9
Hesperiiidae marrom;Hesperiidae sp3
Hexo (121);Halictidae spp.
Hexo (132);Exomalopsis spp.
Hexo (142);Tetrapedia spp.
Hexo grandona (128);Tetrapedia spp.
Hgallcitidae;Halictidae spp.
hhalictidae verde com abd vermelho;Halictidae spp.
Hllictidae verde com dourado e abd vermelho;Halictidae spp.
Hover flie já filmado aqui;Toxomerus sp.
Hoverflie;Allograpta sp.
hoverflie amarelo;Allograpta sp.
Hoverflie filmado ontem na Tradescantia pallida;Toxomerus sp.
Hoverflie filmado semana passada na Tradescantia pallida;Toxomerus sp.
hoverflie já filmado nela;Allograpta sp.
Hoverflie laranja;Allograpta sp.
Hoverflie preto e branco;Allograpta sp.
hoverflie preto e branco 1;Allograpta sp.
Hoverflie preto e branco com olhos vermelhos;Allograpta sp.
hoverflir amarelo;Allograpta sp.
Inseto estranho;Braconidae sp.
Ixorea amarela já filmada aqui;Phoebis sp1
Jataí preta;Scaura aspera
Joaninha vermelha;Cycloneda sanguinea
Joaninha vermelha (sangue) (sem pintinhas);Cycloneda sanguinea
Lepidoptera amarela;Phoebis sp1
Lepidoptera branca;Ascia sp.
Macho de Xylocopa;Xylocopa sp3
mariposa azul linda;Lasaia sp.
mariposa com abd enorme e asas mescladas;Zygaenidae sp4
Mariposa diferentona (144);Zygaenidae sp2
Mariposa já cap.;Zygaenidae sp2
mariposa lindona;Zygaenidae sp2
mariposa preta com detalhe laranja filmada aqui;Zygaenidae sp1
Mariposa preta com ponta das asas branca e cabeça laranja;Zygaenidae sp2
Mariposa preta com ponta das asas branco já filmada aqui;Zygaenidae sp2
Megachildiae que parce vepsa com ponta do abd amarelo;Brachygastra lecheguana
Megachile com abd amarelo;Megachilidae sp2
megachiliade com abd arredondando e ponta amarela;Megachilidae sp2
Megachilida da cuphea;Megachilidae sp1
Megachilidae (34);Coelioxys spp.
Megachilidae (49);Coelioxys spp.
Megachilidae (cap. Na falsa mirra);Coelioxys spp.
Megachilidae (Ephantidium) não tenho ctz se coletei;Epanthidium tigrinum
Megachilidae (grande abdomen triangular);Coelioxys spp.
Megachilidae abd quadrangular;Megachile sp. 8
Megachilidae abd triangular (menor) (brasilico);Megachile sp. 8
Megachilidae abd triangular com detalhe em vermelho no abd;Coelioxys spp.
Megachilidae abd verde com preto;Crabronidae sp. 2
Megachilidae abdomen triangular listrado (já capturada);Coelioxys spp.
Megachilidae bem doidona, com avd triqangular;Coelioxys spp.
Megachilidae cap aqui voo raído pequena;Megachilidae sp1
Megachilidae com abd arredondado e ponta amrela;Megachilidae sp2
Megachilidae com abd arredondando e ponta amarela;Megachilidae sp2
Megachilidae com abd arredonddo e amarelo;Megachilidae sp2
Megachilidae com abd listrado e base vermelha (Coelioxys sp.);Coelioxys spp.
megachilidae com abd quadrangular;Megachile sp. 8
Megachilidae com abd traingular e risco verme vi ea no manjericão tbm;Coelioxys spp.
Megachilidae com abd triangular;Coelioxys spp.
megachilidae com abd triangular com risco vermelho;Coelioxys spp.
Megachilidae com abd triangular e listra vermelha;Coelioxys spp.
megachilidae com abd triangular e risco vermelho;Coelioxys spp.
Megachilidae com abd triangular listrado de preto e branco;Coelioxys spp.
Megachilidae com abd trinagular com ponta amarelo;Brachygastra lecheguana
Megachilidae com abd verde e preto;Crabronidae sp. 2
Megachilidae com abr amarelo na ponta arredondada;Megachilidae sp2
Megachilidae com abvd arredondado e pota amrela;Megachilidae sp2
Megachilidae da cuphea;Megachilidae sp1
Megachilidae da cuphea 1;Megachilidae sp1
Megachilidae de ab triangular;Coelioxys spp.
Megachilidae de abd amarelo mt doida;Megachilidae sp2
Megachilidae de abd amarelo só na ponta, abd arredondado;Megachilidae sp2
megachilidae de abd amrelo;Megachilidae sp2
megachilidae de abd arredondado com base amarelo;Megachilidae sp2
Megachilidae de abd arredondado e ponta amarela;Megachilidae sp2
Megachilidae de abd quadrangular;Megachile sp. 8
Megachilidae de abd triangular;Coelioxys spp.
Megachilidae de abd triangular com listra vermelha;Coelioxys spp.
Megachilidae de abd triauglar;Coelioxys spp.
Megachilidae de abd triauglar com risco vermelho;Coelioxys spp.
Megachilidae diferentona com mancahs no rosto;Megachile sp. 9
Megachilidae igual a 197;Megachilidae sp6
Megachilidae já cap. Aqui voo raído magrinha e pequena;Megachilidae sp1
Megachilidae mascarada de pernas laranjas acho que igual a que eu cap.;Megachilidae sp2
Megachilidae parecia Ephantidium;Epanthidium tigrinum
Megachilidae pequena da Cuphea;Megachilidae sp1
Megachilidae preta com ponta do abd arredondado e amarelo;Megachilidae sp2
Megachilidae que aprece vespa com pontado abd amarelo cap recentemente.;Brachygastra lecheguana
Megachilidae que foi no cosmos e tirei foto;Coelioxys spp.
Megachilidae que parece Anthidini do artigo do guaco, mas com abd triangular, já cap. O manjericão;Brachygastra lecheguana
Megachilidae rápida pequena da Cuphea;Megachilidae sp1
Megachilidae sp8;Crabronidae sp. 2
Megachilidae super estranha cap.;Megachile sp. 3
Megachilidae verde com listras pretas;Crabronidae sp. 2
Megachilidae voo reápido cap outro dia;Megachilidae sp1
Megachilideae preta abd quadrangular;Megachile sp. 8
Megachiliidae 2;Melissoptila cnecomala
Megchilidae com abd triangular com listras vermelha;Coelioxys spp.
Megchilidae preta grande;Megachile sp. 6
Melipinini preto (Scaptotrigona/Trigona) ?;Scaptotrigona sp.
Melipinini preto (Scaptotrigona/Trigona) ? (base da flor);Trigona spinipes
Melipinini preto (Scaptotrigona/Trigona) ? 1;Trigona spinipes
Melipinini preto (Scaptotrigona/Trigona) ? Prov. Trigona spinipes;Trigona spinipes
Melipinini preto (Scaptotrigona/Trigona) ? Prov. Trigona spinipes 1;Scaptotrigona sp.
Melipinini preto (Scaptotrigona/Trigona) ? sp.;Scaptotrigona sp.
Melipinini preto (Scaptotrigona/Trigona) ? sp. 1;Trigona spinipes
Meliponini (122);Trigona spinipes
Meliponini já coletado no camarão vermelho;Plebeia aff. droryana
Meliponini muito pequeno já cap. No Brasilico Mirim preguiça prov. De 2022;Friesella schrottkyi
Meliponini pequena (111);Plebeia aff. droryana
Meliponini pequena 7;Friesella schrottkyi
Meliponini pequena 8;Trigona spinipes
Meliponini pequena 9;Nannotrigona testaceicornes
Meliponini pequeno (98);Exomalopsis spp.
Meliponini pequeno provavelmente Iraí;Nannotrigona testaceicornes
Meliponini pequneo;Friesella schrottkyi
Meliponini preta (110);Trigona spinipes
Meliponini preta (114);Scaptotrigona sp.
Meliponini preta (Trigona/Scaptotrigona);Trigona spinipes
Meliponini preta (Trigona/Scaptotrigona) 1;Scaptotrigona sp.
Micro abelha;Plebeia aff. droryana
Microabelha;Plebeia aff. droryana
Microabelha abd afinado;Halictidae spp.
Microabelha falei que pode ignorar, pq não sei a id.;Plebeia aff. droryana
Mosca abd bem fininho mas com bola no abd e ponta no final. Ponta parece de vespa;Diptera sp12
Mosca cara branca média;Diptera sp1
Mosca pequena abd longo e vermelho;Diptera sp13
Mosca pousa de asa aberta bem (113);Diptera sp24
Nannotrigona testaceicornes;Nannotrigona testaceicornes
Nannotrigona testaceicornes (base da flor);Nannotrigona testaceicornes
Nannotrigona testaceicornes nas anteras (Vìdeo 15/11/2021 13:45);Nannotrigona testaceicornes
Nomada;Nomada polybioides
nymphalidae tricolor que já filmei aqui;Eueides dianasa
Ornidea obesa;Ornidea sp.
Ornidea obesa talvez;Ornidea sp.
Ornidea sp.;Ornidea sp.
Outra hallcitidae;Halictidae spp.
Outra megachili menor e capturei no brasilico (ver.);Megachile sp. 8
Oxaea;Oxaea flavescens
Oxaea com abd listrado em azul;Oxaea sp2
Oxaea com abd verde metálico total;Oxaea flavescens
Oxaea diferentona;Oxaea flavescens
Oxaea sp.;Oxaea flavescens
oxaeae diferente;Oxaea flavescens
oxaeae diferentona;Oxaea flavescens
Oxaeae mais diferente;Oxaea flavescens
Oxaeae sp.;Oxaea flavescens
Oxaeae sp1;Oxaea flavescens
oxeae diferentona;Oxaea flavescens
Oxeae sp.;Oxaea flavescens
Parecia Ornidea, só pousada;Ornidea sp.
Pavão branco;Anartia jatrophae
pavao branco 1;Anartia jatrophae
Percevejo (88);Nysius sp.
Percevejo clássico dessa planta;Hypselonotus fulvus
Percevejo com oerninhas finas;Coreidae sp.
Percevejo estranho;Nysius sp.
Percevejo estranho (23);Nysius sp.
Percevejo estranho (Já cap.);Nysius sp.
Percevejo estranho (Já cap.) 1;Nysius sp.
Percevejo estranho (Já cap.) 2;Hypselonotus fulvus
Percevejo estranho do agrião;Nysius sp.
percevejo estranho, bege com marrom;Hypselonotus fulvus
percevejo estranho, verde com marrom;Hypselonotus fulvus
Percevejo já filmado aqui;Dysdercus sp.
Percevejo já filmado aqui hj;Hypselonotus fulvus
Percevejo já visto aqui;Hypselonotus fulvus
Percevejo já visto aqui, tem vídeo;Hypselonotus fulvus
percevejo preto com vermelho;Dysdercus sp.
percevejo verde grandão;Nezara sp.
Plebeia;Plebeia aff. droryana
Plebeia (Andando sobre a flor);Plebeia aff. droryana
Plebeia sp.;Plebeia aff. droryana
Plebeia sp. (andando sobre a planta);Plebeia aff. droryana
Plebeia sp. (Já cap.);Plebeia aff. droryana
Polybia paulista;Polybia paulista
Scaptotrigona;Scaptotrigona sp.
Scaptotrigona sp.;Scaptotrigona sp.
Scaptotrigona sp. acho;Scaptotrigona sp.
Scaptotrigona sp. ou Trigona sp.;Trigona spinipes
Scaptotrigona/Trigona (Prov. Scaptotrigona);Scaptotrigona sp.
sipcauda com torax azul;Urbamus proteus
Spicauda;Spicauda procne
Spicauda asa mesclada;Cecropterus dorantes
Spicauda bem mesclada;Cecropterus dorantes
Spicauda clássica;Spicauda procne
Spicauda classica 1;Spicauda procne
Spicauda clássica marrom;Spicauda procne
Spicauda com abd azul;Urbamus proteus
Spicauda com asas mescladas;Cecropterus dorantes
Spicauda com detalhes e marrom;Spicauda procne
Spicauda com rabo clássico;Spicauda procne
Spicauda com rabo mesclada;Cecropterus dorantes
Spicauda marrom clássica;Cecropterus dorantes
Spicauda marrom classica 1;Spicauda procne
Spicauda marrom com detalhes;Cecropterus dorantes
Spicauda marrom sem mt ornamentação, clássica;Spicauda procne
Spicauda mesclada;Cecropterus dorantes
Spicauda preta clássica;Spicauda procne
Spicauda sem nada;Spicauda procne
Spicauda sempre a marrom normal;Spicauda procne
Spicauda sp classica;Spicauda procne
Spicauda sp.;Spicauda procne
Spicauda sp. a clássica;Spicauda procne
Spicauda sp. com mts detalhes na asa, comum visto;Cecropterus dorantes
Spicauda sp. mesclada;Cecropterus dorantes
Spicauda sp. não sei qual;Spicauda procne
Spiicauda com detalhes;Cecropterus dorantes
Tetragona clavipes;Tetragona clavipes
Tetragonisca sp.;Tetragonisca fiebrigi
Tetragonisca sp. (pousou?);Tetragonisca fiebrigi
Tetragosnica sp.;Tetragonisca fiebrigi
Tipo Ephantidium menor;Epanthidium tigrinum
Trigona;Trigona spinipes
Trigona (anteras);Trigona spinipes
Trigona (Base da flor);Trigona spinipes
Trigona (Base das flores);Trigona spinipes
Trigona (est. Rep.);Trigona spinipes
Trigona (Estrutura rep.);Trigona spinipes
Trigona (na base das flores);Trigona spinipes
Trigona (Parecia estar visitando e não pilhando);Trigona spinipes
Trigona (sobrevoando e pousando na flor sempre);Trigona spinipes
Trigona andando sobre as flores;Nannotrigona testaceicornes
Trigona base da flor;Trigona spinipes
Trigona com ctz;Trigona spinipes
Trigona na base da flor;Trigona spinipes
Trigona na base da flores;Trigona spinipes
trigona ou exo preta grande?;Trigona spinipes
Trigona ou Scaptotrigona?;Trigona spinipes
Trigona ou Scaptotrigona? 1;Scaptotrigona sp.
Trigona ou Scaptotrihona (Vídeo 19/11/2021 6:48);Trigona spinipes
Trigona sobrevoando e pousando;Trigona spinipes
Trigona sp.;Trigona spinipes
Trigona sp. (destruindo a planta);Trigona spinipes
Trigona sp1;Trigona spinipes
Trigona spinipes;Trigona spinipes
Trigona spinipes (base do botão);Trigona spinipes
Trigona spinipes (estrutura reprodutiva);Trigona spinipes
Trigona spinipes (rep.);Trigona spinipes
Trigona voando e pousando;Trigona spinipes
Trigona/Scaptotrigona;Trigona spinipes
Trigona? Scaptotrigona?;Trigona spinipes
Trochilidae;Chlorostilbon lucidus
Trochilidae verde com marrom;Hylocharis chrysura
vaquinha;Astylus sp. 1
Vaquinha (Coleoptera);Astylus sp. 1
Vaquinha sp.;Astylus sp. 1
Verde amarelado filmei esses dias atras;Hylocharis chrysura
Vespa (Carqueja);Hymenoptera sp19
Vespa (comum);Polybia paulista
Vespa (peq.);Polybia paulista
Vespa abd. Amarelo e corpo preto (cap. na turnera);Brachygastra lecheguana
vespa amarela com preto;Hymenoptera sp19
vespa amarela com preto +- 1cm;Hymenoptera sp19
Vespa cara amarela comum pequena  (109);Hymenoptera sp19
vespa co abd listrado;Hymenoptera sp19
Vespa com a ponta com risco amarelo;Hymenoptera sp19
Vespa com abd listrado;Hymenoptera sp19
Vespa com abd triangular com a ponta amarelo;Brachygastra lecheguana
Vespa com cabeça e abdomen amarelo;Hymenoptera sp19
vespa com detalhes em amarelo;Hymenoptera sp19
Vespa com marca amarela no tórax;Hymenoptera sp19
Vespa com uma listra amarela no abd;Hymenoptera sp19
vespa com uma listra o abd;Hymenoptera sp19
Vespa comum aqui (peq.) amarela com preta;Hymenoptera sp19
Vespa doidona do girassol;Scoliidae sp.
Vespa enorme preta;Vespa sp7
Vespa já filmada aqui;Hymenoptera sp19
vespa magrinha da Achillea millefolium;Polybia paulista
vespa magrinha preta;Polybia paulista
Vespa média magrinha;Polybia paulista
Vespa parecda com paulistinha (andando);Polybia paulista
Vespa paulistinha;Polybia paulista
Vespa paulistinha (base das flores);Polybia paulista
Vespa peq. Amarela (comum)  (109);Hymenoptera sp19
Vespa pequena abdômen triangular brilhante preto;Vespa sp4
Vespa pequenininha cap. Aqui semana passada;Crabronidae sp. 3
Vespa preta com abd amarelo listrado (107);Brachygastra lecheguana
vespa preta com manchas amarelas (comum) (pousando na planta);Polybia paulista
Vespa preta com ponta do abd amarelo;Brachygastra lecheguana
Vespa preta com torax mancahdo em amarelo e abdomen listrado amarelo;Hymenoptera sp19
Vespa preta e amarela (22);Hymenoptera sp19
Vespa preto;Crabronidae sp. 3
Vespa Sorghum;Polybia paulista
Vespa/abelha (pote verde com data);Crabronidae sp. 2
Vespídeo com abd amarelo;Brachygastra lecheguana
Vespinha;Crabronidae sp. 3
Vespinha com abd listrado;Hymenoptera sp19
Vespinha com listras amarelas pequena já vista e acho que cap.;Hymenoptera sp19
vespinha magra;Polybia paulista
Vespinha mraginha;Polybia paulista
Vespinha pequena;Crabronidae sp. 3
vespinha pequnea parece Nomadis;Crabronidae sp. 3
Vespinha preta;Crabronidae sp. 3
Vespinha preta pequena;Crabronidae sp. 3
X. frontalis;Xylocopa frontalis
X. preta;Xylocopa sp1
Xylocopa;Xylocopa sp3
Xylocopa (Vìdeo 15/11/2021);Xylocopa sp1
Xylocopa (Vìdeo 16/11/2021 9:59);Xylocopa sp3
Xylocopa 123;Xylocopa sp1
Xylocopa abd preto;Xylocopa sp1
Xylocopa abdomen preto;Xylocopa sp1
Xylocopa com abd preto maior;Xylocopa sp1
Xylocopa frontalis;Xylocopa frontalis
Xylocopa frontalis (roubando);Xylocopa frontalis
Xylocopa frontalis parece a com abd marrom;Xylocopa sp2
Xylocopa frontalis, gigantesca;Xylocopa frontalis
Xylocopa não é a frontalis;Xylocopa sp2
Xylocopa oreta menor;Xylocopa sp1
Xylocopa parece a frontalis, mas abd marrom;Xylocopa sp2
Xylocopa parecida com frontalis sem manchas e marrom;Xylocopa sp2
Xylocopa preta;Xylocopa sp1
Xylocopa preta (Vídeo 22/11/2021 6:52);Xylocopa sp1
Xylocopa preta abd lustroso;Xylocopa sp1
Xylocopa preta abd preto;Xylocopa sp1
Xylocopa preta enorme;Xylocopa sp1
Xylocopa preta grande;Xylocopa sp1
Xylocopa preta gravada;Xylocopa sp1
Xylocopa preta lindona;Xylocopa sp1
Xylocopa preta menor;Xylocopa sp1
Xylocopa preta?;Xylocopa sp1
Xylocopa que eu filmei no dia 10/11/2021;Xylocopa sp3
Xylocopa roubando na base da flor;Xylocopa sp3
Xylocopa sp;Xylocopa frontalis
Xylocopa sp. 1;Xylocopa sp1
Xylocopa sp. 5;Epicharis sp.
Xylocopa torax amarelo parece centris;Epicharis sp.
Xylocopa/Centris;Epicharis sp.
Xylocopa? 6;Bombus sp1
Xylocopra frontalis;Xylocopa frontalis
Xylocopra preta grande;Xylocopa sp1
Xylocpa frontalis;Xylocopa frontalis
Xylocpa preta que filme na Thumbergia hj;Xylocopa sp1
Diptera (comum);Allograpta sp.
Diptera (comum no Sorghum);Allograpta sp.
scaptotrigona ou trigona;Scaptotrigona sp.
Hallictidae preta média 1;Halictidae spp.
Hallictidae verde com dourado, espécie diferentona;Halictidae spp.
